Zip,Lat,Lon,SEAI
6211AL,50.8552328455939,5.69223719348659,42.472407130841745
6211AM,50.85360826,5.69195766,77.04285838459498
6211AN,50.8536170379999,5.692008836,63.919636508684306
6211AP,50.8530370741935,5.69182532903225,55.919509051822196
6211AR,50.8549933904761,5.69229446428571,29.36111842654619
6211AT,50.854580776,5.690198936,29.35967122017216
6211AV,50.8534529584905,5.69024034528301,23.485016730091967
6211AW,50.8525451651162,5.69050225813953,71.97056874649611
6211AX,50.8539760846153,5.68977017884615,56.06690070459253
6211AZ,50.8526678255319,5.6898785680851,62.48435466776273
6211BA,50.8546666714285,5.69254896666666,21.23506965774815
6211BB,50.8548809599999,5.69068446666666,78.19459112971967
6211BC,50.8548773036144,5.6925652819277,69.94655844802531
6211BD,50.8532677333333,5.69194032222222,32.74034664069657
6211BE,50.8529095083333,5.6924074,30.909498032426036
6211BG,50.8542055079365,5.69265704603174,31.00427059120603
6211BH,50.8543756238095,5.69143427777777,38.254534577572265
6211BJ,50.853499475,5.69279843499999,51.48538589793427
6211BK,50.8540213431034,5.69118215689655,45.916701118526944
6211BL,50.8535511789473,5.69293261578947,37.47374841188251
6211BN,50.8536901681818,5.69127194090909,56.71117368334277
6211BP,50.85369034,5.69143423999999,28.36963163912251
6211BS,50.8532284299999,5.69060253,37.528678912113094
6211BT,50.8537130099999,5.690915155,41.9817105976215
6211BV,50.8525653803921,5.69134625098039,47.364199053022155
6211BW,50.85342249375,5.69241964375,67.11055768358082
6211BX,50.8533925818181,5.69269833181818,31.980426929501583
6211BZ,50.853757247826,5.69104481086956,50.8540663048167
6211CA,50.8525004745097,5.69255205294117,55.54487413172255
6211CB,50.8526657222222,5.69253242222222,22.787024763199863
6211CC,50.8535705277777,5.6935536875,56.4526911140863
6211CD,50.8524690777777,5.6936291,30.23144742123749
6211CE,50.8522656281249,5.69253385,23.903095579116773
6211CH,50.8510020078947,5.69016421491987,76.93313223519999
6211CJ,50.8519172062499,5.68986346666666,77.93792198447356
6211CK,50.8518894809523,5.69135722857142,68.50384088698766
6211CL,50.8508655051281,5.69145483846153,38.27682615040224
6211CM,50.8503591537313,5.69089229850746,25.86032684038303
6211CP,50.8504990714285,5.69002047714285,61.053981590729414
6211CR,50.8503582678571,5.69144829642857,46.40914962437608
6211CS,50.8506381909091,5.69111669999999,27.32229409068673
6211CW,50.8499387106383,5.69163493191489,49.71061460667621
6211DA,50.8484931428571,5.69465698571428,22.063311266913104
6211DE,50.8485623999999,5.69376078181818,74.55922412472692
6211EA,50.8491826098039,5.68974610196078,35.52679889600101
6211EB,50.849277187234,5.69035392765957,59.75133706123892
6211EC,50.8495316212121,5.69140959696969,38.70266456536466
6211ED,50.8496347642857,5.69268977857142,51.20408127066865
6211EL,50.8510946089552,5.69288446567164,52.80261676059678
6211EM,50.851289101923,5.69309989807692,31.091267331531622
6211EN,50.8501927499999,5.69363628586956,78.17507766587352
6211EP,50.8504937723404,5.6930566787234,66.50796940166687
6211ER,50.8498311352941,5.69331019117647,76.36993649385136
6211ES,50.8492274933333,5.69361078333333,73.68964102565893
6211ET,50.8494015875,5.69361059583333,55.87399872866511
6211EV,50.84916951,5.69440339,75.312454101387
6211EX,50.8483681909091,5.69472127272727,25.30955012311517
6211EZ,50.8472883384615,5.69468143846153,31.758971745148713
6211GA,50.8479572333333,5.69366644,22.713637334632285
6211GB,50.8485542333333,5.69416528148148,39.519819845795865
6211GC,50.8476879545454,5.6943238,43.320637381368925
6211GD,50.8484288730769,5.69401740384615,36.28094190643375
6211GJ,50.8483924246153,5.69329342153846,69.72425054911577
6211GK,50.8488986875,5.6934082375,41.40519960161536
6211GL,50.8490138285714,5.69335568095238,36.85607058124285
6211GM,50.8484865071428,5.69266584642857,52.56176498949491
6211GN,50.8484688095238,5.69251342857142,28.45545349848576
6211GR,50.849019840909,5.691733999954,68.13181884524238
6211GS,50.84914722,5.69116678,24.473038620786248
6211GT,50.8489020513513,5.69056991081081,79.21321619603104
6211GV,50.8487804124999,5.689883425,66.33468615779944
6211GW,50.8485796820512,5.69067981794872,31.922940892050345
6211GX,50.8485322692307,5.69146989692307,20.331327027416144
6211GZ,50.8481651222222,5.69188224444444,68.92768570729005
