Zip,Lat,Lon
6211AL,50.8552328455939,5.69223719348659
6211AM,50.85360826,5.69195766
6211AN,50.8536170379999,5.692008836
6211AP,50.8530370741935,5.69182532903225
6211AR,50.8549933904761,5.69229446428571
6211AT,50.854580776,5.690198936
6211AV,50.8534529584905,5.69024034528301
6211AW,50.8525451651162,5.69050225813953
6211AX,50.8539760846153,5.68977017884615
6211AZ,50.8526678255319,5.6898785680851
6211BA,50.8546666714285,5.69254896666666
6211BB,50.8548809599999,5.69068446666666
6211BC,50.8548773036144,5.6925652819277
6211BD,50.8532677333333,5.69194032222222
6211BE,50.8529095083333,5.6924074
6211BG,50.8542055079365,5.69265704603174
6211BH,50.8543756238095,5.69143427777777
6211BJ,50.853499475,5.69279843499999
6211BK,50.8540213431034,5.69118215689655
6211BL,50.8535511789473,5.69293261578947
6211BN,50.8536901681818,5.69127194090909
6211BP,50.85369034,5.69143423999999
6211BS,50.8532284299999,5.69060253
6211BT,50.8537130099999,5.690915155
6211BV,50.8525653803921,5.69134625098039
6211BW,50.85342249375,5.69241964375
6211BX,50.8533925818181,5.69269833181818
6211BZ,50.853757247826,5.69104481086956
6211CA,50.8525004745097,5.69255205294117
6211CB,50.8526657222222,5.69253242222222
6211CC,50.8535705277777,5.6935536875
6211CD,50.8524690777777,5.6936291
6211CE,50.8522656281249,5.69253385
6211CH,50.8510020078947,5.69016421491987
6211CJ,50.8519172062499,5.68986346666666
6211CK,50.8518894809523,5.69135722857142
6211CL,50.8508655051281,5.69145483846153
6211CM,50.8503591537313,5.69089229850746
6211CP,50.8504990714285,5.69002047714285
6211CR,50.8503582678571,5.69144829642857
6211CS,50.8506381909091,5.69111669999999
6211CW,50.8499387106383,5.69163493191489
6211DA,50.8484931428571,5.69465698571428
6211DE,50.8485623999999,5.69376078181818
6211EA,50.8491826098039,5.68974610196078
6211EB,50.849277187234,5.69035392765957
6211EC,50.8495316212121,5.69140959696969
6211ED,50.8496347642857,5.69268977857142
6211EL,50.8510946089552,5.69288446567164
6211EM,50.851289101923,5.69309989807692
6211EN,50.8501927499999,5.69363628586956
6211EP,50.8504937723404,5.6930566787234
6211ER,50.8498311352941,5.69331019117647
6211ES,50.8492274933333,5.69361078333333
6211ET,50.8494015875,5.69361059583333
6211EV,50.84916951,5.69440339
6211EX,50.8483681909091,5.69472127272727
6211EZ,50.8472883384615,5.69468143846153
6211GA,50.8479572333333,5.69366644
6211GB,50.8485542333333,5.69416528148148
6211GC,50.8476879545454,5.6943238
6211GD,50.8484288730769,5.69401740384615
6211GJ,50.8483924246153,5.69329342153846
6211GK,50.8488986875,5.6934082375
6211GL,50.8490138285714,5.69335568095238
6211GM,50.8484865071428,5.69266584642857
6211GN,50.8484688095238,5.69251342857142
6211GR,50.849019840909,5.691733999954
6211GS,50.84914722,5.69116678
6211GT,50.8489020513513,5.69056991081081
6211GV,50.8487804124999,5.689883425
6211GW,50.8485796820512,5.69067981794872
6211GX,50.8485322692307,5.69146989692307
6211GZ,50.8481651222222,5.69188224444444
6211HA,50.8478454069767,5.6910392488372
6211HB,50.84817776,5.68979569
6211HC,50.8482091035087,5.69019072105263
6211HD,50.8477183571428,5.69315168571428
6211HE,50.8474029307692,5.69284369999999
6211HH,50.8462699888888,5.69459238888888
6211HK,50.8462072766666,5.69433764666666
6211HL,50.8465355238095,5.69403019999999
6211HM,50.8461609066666,5.69354971333333
6211HN,50.8463708,5.693185825
6211HP,50.8463783764705,5.69250553529411
6211HR,50.8467326342105,5.69277300263157
6211HT,50.8468970675675,5.69226264324324
6211HV,50.8464680818181,5.69199175227272
6211HW,50.8474393869565,5.69160895652173
6211HX,50.8474072583333,5.69134109999999
6211HZ,50.8462130590909,5.69276536363636
6211JA,50.8465672365853,5.69076360487804
6211JB,50.8467373117647,5.69077415882352
6211JC,50.846225089,5.689977654
6211JD,50.8459246967741,5.69116535806451
6211JG,50.8456934076923,5.69148146153846
6211JH,50.8449896226414,5.68963901886792
6211JJ,50.8453690864864,5.68972385135135
